day,train,bus,plane,car
1,101106,39162,36285,90248
2,94694,32480,44280,128925
3,100613,37306,59655,221751
4,194321,76282,60885,497651
5,178045,56422,127305,526014
6,116395,44544,146370,394511
7,115902,42874,101475,121190
8,113436,45658,108240,144396
9,95681,33037,86100,28364
10,99133,33408,107010,206280
11,157824,56608,111930,634311
12,158810,45286,111315,526014
13,108011,38790,118695,479601
14,106531,39718,116850,417717
15,111463,41203,103935,605948
16,108997,33594,66420,598212
17,114422,34707,167895,644625
18,137603,51782,220170,884426
19,208130,82778,312420,1606406
20,224406,89274,311805,1575464
21,174100,69043,483390,1660554
22,202212,84819,502455,2132420
23,197280,90758,524595,2387691
24,201226,69043,396675,1838471
25,128232,47514,160515,433188
26,195307,107091,201720,1031400
27,241175,94842,231855,1255730
28,208624,85376,249690,845748
29,243148,92429,324105,1456853
30,269780,99110,340710,1379498
31,225392,61062,215250,1031400
